generator,branca,judge,n,A1,A2,A3,B1,B2,B3,B4,C1,global_avg
gemini,hc,gemini,201,4.5,4.82,4.92,4.7,4.94,4.9,4.95,4.91,4.84
gemini,hc,gpt4mini,135,3.8,4.59,4.1,4.59,4.19,3.41,4.14,4.16,4.12
gemini,rag_v1,gemini,201,4.14,4.7,4.75,3.91,4.91,4.88,4.8,4.38,4.55
gemini,rag_v1,gpt4mini,135,3.17,4.0,3.46,4.07,3.62,3.19,3.72,3.69,3.63
gemini,rag_v2,gemini,201,4.19,4.64,4.66,3.66,4.9,4.82,4.58,4.23,4.44
gemini,rag_v2,gpt4mini,136,3.32,3.99,3.44,4.15,3.54,3.08,3.72,3.6,3.61
gpt,hc,gemini,200,4.29,4.63,4.87,4.55,4.8,4.59,4.83,4.79,4.69
gpt,hc,gpt4mini,135,3.88,4.59,3.95,4.55,3.79,3.07,4.03,4.02,3.97
gpt,rag_v1,gemini,201,4.45,4.68,4.73,4.64,4.85,4.76,4.93,4.74,4.73
gpt,rag_v1,gpt4mini,133,3.93,4.59,3.9,4.62,3.75,3.09,4.05,3.98,3.98
gpt,rag_v2,gemini,200,4.58,4.74,4.71,4.8,4.79,4.75,4.92,4.7,4.75
gpt,rag_v2,gpt4mini,134,3.96,4.54,3.92,4.63,3.67,3.15,4.1,4.0,3.99
sonnet,hc,gemini,200,4.25,4.3,4.94,4.03,4.96,4.95,4.89,4.88,4.68
sonnet,hc,gpt4mini,134,3.6,4.56,3.97,4.18,4.02,3.13,4.1,4.04,3.95
sonnet,rag_v1,gemini,200,4.42,4.37,4.97,4.21,5.0,4.93,4.91,4.92,4.74
sonnet,rag_v1,gpt4mini,135,3.74,4.64,3.93,4.36,4.04,3.16,4.05,4.01,3.98
sonnet,rag_v2,gemini,200,1.82,2.4,2.15,1.66,1.7,1.72,2.06,1.68,1.86
sonnet,rag_v2,gpt4mini,135,2.05,2.59,2.06,2.59,2.03,1.9,2.59,2.28,2.27
